date,open,high,low,close,volume
2014-03-18,140.0700,140.0700,140.0600,140.0700,12748700
2014-03-19,140.0900,140.0900,140.0800,140.0800,6619400
2014-03-20,140.0400,140.1600,140.0300,140.1300,3161800
2014-03-21,140.1500,140.1700,139.9100,140.1600,3719000
2014-03-24,140.2000,140.2500,140.1900,140.2500,4150100
2014-03-25,140.2700,140.2800,140.2600,140.2800,4901100
2014-03-26,140.3000,140.3000,140.2700,140.2700,841200
2014-03-27,140.2900,140.4400,140.2500,140.4400,1886300
2014-03-28,140.4600,140.4800,140.3300,140.3300,516700
2014-03-31,140.3800,140.5500,140.3700,140.5400,2049600
2014-04-01,140.5500,140.5600,140.4800,140.5600,1901100
2014-04-02,140.5700,140.5800,140.5700,140.5700,1459800
2014-04-03,140.5800,140.5800,140.5700,140.5700,8997500
2014-04-04,140.5900,140.5900,140.3900,140.4400,7212200
2014-04-08,140.5000,140.5500,140.4300,140.5500,13902100
2014-04-09,140.5600,140.6600,140.4800,140.5700,23280900
2014-04-10,140.5900,140.5900,140.4400,140.5200,14864000
2014-04-11,140.5300,140.6400,140.4600,140.6400,8975200
2014-04-14,140.6800,140.7000,140.2700,140.6400,4675300
2014-04-15,140.6500,140.7100,140.6500,140.7100,5823800
2014-04-16,140.7200,140.7200,140.5800,140.6800,5117700
2014-04-17,140.7000,140.7100,140.7000,140.7100,10673500
2014-04-18,140.7200,140.7300,140.7200,140.7200,3949200
2014-04-21,140.7700,140.7700,140.7600,140.7700,1728500
2014-04-22,140.7800,140.7800,140.5800,140.7600,1977900
2014-04-23,140.7700,140.7900,140.6700,140.7100,6699500
2014-04-24,140.7200,140.7200,140.6400,140.7200,12187800
2014-04-25,140.7300,140.7300,140.7100,140.7200,69577800
2014-04-28,140.7600,140.7700,140.7300,140.7300,3937200
2014-04-29,140.7400,140.7900,140.7300,140.7400,2037600
2014-04-30,140.7500,140.8200,140.7500,140.8000,7174100
2014-05-05,140.8700,140.8900,140.8700,140.8800,6357100
2014-05-06,140.8900,141.0000,140.8900,140.9700,9430700
2014-05-07,140.9800,140.9900,140.9800,140.9900,3142700
2014-05-08,141.0000,141.0300,141.0000,141.0100,14357000
2014-05-09,141.0200,141.0600,140.9800,141.0600,15733900
2014-05-12,141.1000,141.1100,141.1000,141.1100,6751500
2014-05-13,141.1200,141.1800,141.1200,141.1400,7900300
2014-05-14,141.1500,141.1700,141.1400,141.1400,7822200
2014-05-15,141.1500,141.1500,141.1300,141.1400,8694400
2014-05-16,141.1500,141.1600,141.1100,141.1100,5104700
2014-05-19,141.1500,141.1900,141.0300,141.1300,4340100
2014-05-20,141.1500,141.1600,141.1500,141.1600,8022100
2014-05-21,141.1700,141.1800,141.1600,141.1800,5395700
2014-05-22,141.1900,141.3400,141.1400,141.3400,5891300
2014-05-23,141.3500,141.3600,141.1800,141.1800,583000
2014-05-26,141.2200,141.3600,141.2100,141.3600,5210600
2014-05-27,141.3800,141.4300,141.3700,141.4100,7982500
2014-05-28,141.4300,141.4300,141.1900,141.4300,16963300
2014-05-29,141.4500,141.5000,141.4000,141.5000,22519600
2014-05-30,141.5200,141.5400,141.5100,141.5400,12827400
2014-06-03,141.6000,141.6400,141.5900,141.6400,10451500
2014-06-04,141.6600,141.7100,141.5200,141.6200,13327700
2014-06-05,141.6300,141.6300,141.6200,141.6200,8755600
2014-06-06,141.6300,141.6300,141.6200,141.6300,13369500
2014-06-09,141.6700,141.6700,141.5800,141.6400,7954100
2014-06-10,141.6500,141.7700,141.6500,141.7700,9681000
2014-06-11,141.7900,141.8200,141.7900,141.8200,3856300
2014-06-12,141.8300,141.8300,141.7700,141.7900,2823500
2014-06-13,141.8000,141.8400,141.6600,141.8100,9662800
2014-06-16,141.8500,141.8700,141.8400,141.8700,40322300
2014-06-17,141.8800,141.9000,141.8600,141.9000,7086400
2014-06-18,141.9200,141.9200,141.8100,141.8100,8423600
2014-06-19,141.8200,141.8500,141.7500,141.8500,4146600
2014-06-20,141.8700,141.8800,141.8600,141.8800,1831600
2014-06-23,141.9300,141.9800,141.6600,141.8800,3533500
2014-06-24,141.8900,141.9500,141.8800,141.9500,1894000
2014-06-25,141.9700,141.9900,141.8700,141.9900,13157800
2014-06-26,142.0000,142.0000,141.9400,141.9700,6844100
2014-06-27,141.9900,142.0100,141.9600,141.9800,3814300
2014-06-30,142.0200,142.1300,142.0200,142.0200,3752700
2014-07-01,142.0300,142.0400,142.0000,142.0300,11730300
2014-07-02,142.0500,142.0600,142.0300,142.0600,16936000
2014-07-03,142.0700,142.0700,142.0700,142.0700,9899300
2014-07-04,142.0800,142.0800,142.0300,142.0300,19691000
2014-07-07,142.0700,142.0900,142.0700,142.0900,3814700
2014-07-08,142.1000,142.1200,142.0800,142.1100,3044300
2014-07-09,142.1300,142.1400,142.1100,142.1200,5310300
2014-07-10,142.1400,142.1400,142.0800,142.1200,8558400
2014-07-11,142.1300,142.1600,142.1200,142.1500,8030900
2014-07-14,142.2000,142.2000,142.1600,142.1900,4508800
2014-07-15,142.2100,142.2100,142.1700,142.2100,4124100
2014-07-16,142.2300,142.2300,142.1300,142.1600,14108400
2014-07-17,142.1700,142.1700,142.0800,142.1000,6314100
2014-07-18,142.1100,142.1300,142.0700,142.1100,6764600
2014-07-21,142.1500,142.1700,142.1500,142.1600,4937400
2014-07-22,142.1700,142.1900,142.1700,142.1900,12910700
2014-07-23,142.2000,142.2000,142.1500,142.1800,11533500
2014-07-24,142.1900,142.1900,142.1900,142.1900,4400600
2014-07-25,142.2000,142.2300,142.2000,142.2300,5476700
2014-07-28,142.2700,142.2800,142.2400,142.2500,6588900
2014-07-29,142.2700,142.2800,142.2500,142.2700,10606900
2014-07-30,142.2900,142.2900,142.2300,142.2500,12438000
2014-07-31,142.2600,142.3000,142.2600,142.3000,16523100
2014-08-01,142.3100,142.3500,142.2800,142.3400,5367900
2014-08-04,142.3900,142.3900,142.3800,142.3900,6116900
2014-08-05,142.4000,142.4100,142.3900,142.4000,13708500
2014-08-06,142.4200,142.4200,142.4000,142.4200,14467600
2014-08-07,142.4300,142.4300,142.4300,142.4300,55300
2014-08-08,142.4420,142.4490,142.4270,142.4360,836450
2014-08-11,142.4790,142.4940,142.4680,142.4940,568560
2014-08-12,142.5090,142.5170,142.5010,142.5140,1200470
2014-08-13,142.5290,142.5410,142.4590,142.5290,1618780
2014-08-14,142.5430,142.5520,142.5360,142.5450,1854690
2014-08-15,142.5590,142.5760,142.5530,142.5740,805870
2014-08-18,142.6180,142.6220,142.5900,142.6190,434920
2014-08-19,142.6330,142.6330,142.6190,142.6190,445730
2014-08-20,142.6340,142.6470,142.6340,142.6430,726550
2014-08-21,142.6570,142.6820,142.6230,142.6770,873440
2014-08-22,142.6910,142.7170,142.6740,142.7140,539790
